date,Socialdemokratiet,Radikale Venstre,Det Konservative Folkeparti,Nye Borgerlige,Klaus Riskær Pedersen,Socialistisk Folkeparti,Veganerpartiet,Liberal Alliance,Kristendemokraterne,Dansk Folkeparti,Stram Kurs,Venstre,Enhedslisten,Alternativet,Moderaterne,Frie Grønne,Borgernes Parti,Danmarksdemokraterne,Centrum-Demokraterne,Minoritetspartiet,Fremskridtspartiet
2010-01-20,26.009586,4.1376414,10.516517,,,18.897543,,0.68844426,0.17419745,14.022301,,23.192627,2.3361158,,,,,,,,
2010-01-21,25.978231,4.136093,10.521169,,,18.871347,,0.69086015,0.17204632,14.049334,,23.219154,2.337329,,,,,,,,
2010-01-22,25.955326,4.1408873,10.475719,,,18.910486,,0.6999711,0.16994794,14.040388,,23.239285,2.3441,,,,,,,,
2010-01-23,25.899595,4.1499343,10.464929,,,18.896687,,0.70319605,0.17146705,14.030777,,23.30976,2.3501256,,,,,,,,
2010-01-24,25.904488,4.1467366,10.433138,,,18.993769,,0.7072886,0.16666308,13.976334,,23.302807,2.3451827,,,,,,,,
2010-01-25,25.98549,4.1400867,10.392087,,,18.958685,,0.72146744,0.16337615,13.966722,,23.295427,2.3537157,,,,,,,,
2010-01-26,26.004934,4.1323967,10.379072,,,18.918259,,0.72801834,0.16217236,13.996731,,23.299316,2.356773,,,,,,,,
2010-01-27,25.999222,4.1359534,10.388094,,,18.936903,,0.7325706,0.15886928,13.948981,,23.320522,2.356796,,,,,,,,
2010-01-28,26.037607,4.1384406,10.328841,,,18.85602,,0.73819345,0.16357142,13.960735,,23.394548,2.3606772,,,,,,,,
2010-01-29,26.019192,4.1426616,10.334554,,,18.82025,,0.74301606,0.16302405,13.94701,,23.442827,2.3663075,,,,,,,,
2010-01-30,26.050169,4.161902,10.286491,,,18.743273,,0.7476993,0.16137612,13.927397,,23.521524,2.378897,,,,,,,,
2010-01-31,26.071346,4.1706815,10.306525,,,18.644663,,0.74666476,0.15999657,13.934103,,23.559904,2.3848214,,,,,,,,
2010-02-01,26.194378,4.178714,10.242055,,,18.558311,,0.7540455,0.16066115,13.960992,,23.547047,2.38246,,,,,,,,
2010-02-02,26.28906,4.185756,10.190521,,,18.420023,,0.76259923,0.16351941,14.023272,,23.558674,2.3858109,,,,,,,,
2010-02-03,26.377338,4.197776,10.166866,,,18.329048,,0.7658101,0.1702393,13.94788,,23.637068,2.3869522,,,,,,,,
2010-02-04,26.400873,4.1997957,10.1109915,,,18.326527,,0.7668247,0.17350096,13.944284,,23.674917,2.3812776,,,,,,,,
2010-02-05,26.407608,4.1993403,10.176391,,,18.38041,,0.75883645,0.16783328,13.866612,,23.642826,2.3787155,,,,,,,,
2010-02-06,26.436483,4.196945,10.20743,,,18.352394,,0.7533731,0.16516419,13.834545,,23.6522,2.3799365,,,,,,,,
2010-02-07,26.447212,4.212463,10.240247,,,18.265516,,0.7463605,0.16757667,13.807538,,23.704855,2.3868613,,,,,,,,
2010-02-08,26.477718,4.2268476,10.20615,,,18.188047,,0.74976885,0.16530006,13.819938,,23.742016,2.402817,,,,,,,,
2010-02-09,26.524656,4.22252,10.22808,,,18.242317,,0.7501143,0.16345851,13.754948,,23.697533,2.3947365,,,,,,,,
2010-02-10,26.542637,4.23113,10.20975,,,18.25765,,0.75398254,0.16845699,13.70434,,23.710257,2.4004285,,,,,,,,
2010-02-11,26.549915,4.2306924,10.209842,,,18.219755,,0.75940585,0.16471761,13.757427,,23.67338,2.4138172,,,,,,,,
2010-02-12,26.574293,4.2400794,10.240393,,,18.125254,,0.7613507,0.16737993,13.762039,,23.685015,2.4233975,,,,,,,,
2010-02-13,26.54551,4.2464666,10.322508,,,17.977533,,0.7613318,0.16320033,13.840665,,23.681547,2.4412339,,,,,,,,
2010-02-14,26.559034,4.2571297,10.3663025,,,17.927397,,0.7664976,0.1593412,13.848001,,23.65221,2.4442863,,,,,,,,
2010-02-15,26.572477,4.267271,10.355311,,,17.819698,,0.76759374,0.16037844,13.8739805,,23.713573,2.4504037,,,,,,,,
2010-02-16,26.584318,4.278519,10.425708,,,17.790674,,0.76799977,0.16219491,13.871987,,23.646162,2.453074,,,,,,,,
2010-02-17,26.61893,4.286216,10.423236,,,17.803078,,0.77109414,0.16349986,13.827601,,23.626774,2.4601276,,,,,,,,
2010-02-18,26.58472,4.2905188,10.503767,,,17.721405,,0.7679149,0.163865,13.854954,,23.630377,2.4632294,,,,,,,,
2010-02-19,26.583115,4.297018,10.542294,,,17.620079,,0.7624176,0.15996586,13.886912,,23.654844,2.4742405,,,,,,,,
2010-02-20,26.614227,4.3017287,10.568144,,,17.63242,,0.76486903,0.15902166,13.824764,,23.641722,2.4737415,,,,,,,,
2010-02-21,26.648865,4.3141594,10.622123,,,17.535835,,0.7649151,0.1626306,13.813818,,23.637493,2.4806554,,,,,,,,
2010-02-22,26.63582,4.315824,10.647408,,,17.489878,,0.7628357,0.16656004,13.807422,,23.676004,2.4790192,,,,,,,,
2010-02-23,26.5905,4.3297973,10.708265,,,17.408333,,0.7594857,0.16638282,13.85514,,23.679932,2.4833102,,,,,,,,
2010-02-24,26.644218,4.326476,10.717525,,,17.332874,,0.7654977,0.16602191,13.919083,,23.619392,2.4905665,,,,,,,,
2010-02-25,26.72728,4.3194346,10.738426,,,17.310148,,0.76284313,0.16473025,13.911688,,23.563843,2.4830859,,,,,,,,
2010-02-26,26.8013,4.325517,10.655544,,,17.244736,,0.76615775,0.1640108,13.881418,,23.660984,2.4819078,,,,,,,,
2010-02-27,26.853525,4.3369827,10.619926,,,17.162287,,0.7891428,0.16926372,13.895758,,23.659016,2.496338,,,,,,,,
2010-02-28,26.882053,4.350167,10.637204,,,17.16207,,0.7939648,0.16869552,13.778201,,23.711992,2.4980507,,,,,,,,
2010-03-01,26.896626,4.3636007,10.677736,,,17.175066,,0.79395336,0.17042327,13.674424,,23.730186,2.5002255,,,,,,,,
2010-03-02,26.963684,4.3714056,10.682786,,,17.132307,,0.7969186,0.17487745,13.591618,,23.76295,2.5055966,,,,,,,,
2010-03-03,27.067392,4.3739123,10.637455,,,17.111492,,0.8138546,0.17839982,13.506846,,23.782907,2.5100648,,,,,,,,
2010-03-04,27.087355,4.3852077,10.627932,,,17.185022,,0.8272446,0.17722997,13.468103,,23.70861,2.5157878,,,,,,,,
2010-03-05,27.123919,4.386811,10.536396,,,17.209063,,0.8398967,0.1800488,13.454576,,23.732454,2.519411,,,,,,,,
2010-03-06,27.123117,4.3941617,10.543971,,,17.22689,,0.8481905,0.17855121,13.429971,,23.712202,2.5255497,,,,,,,,
2010-03-07,27.112305,4.4067774,10.517802,,,17.236616,,0.8614336,0.1833529,13.472116,,23.661951,2.530634,,,,,,,,
2010-03-08,27.099451,4.4179235,10.528527,,,17.2678,,0.8671819,0.18731338,13.466728,,23.613981,2.5342128,,,,,,,,
2010-03-09,27.057823,4.4248343,10.578223,,,17.24983,,0.8680592,0.18884946,13.484852,,23.592264,2.5386286,,,,,,,,
2010-03-10,27.019485,4.4269943,10.586218,,,17.320696,,0.88115025,0.18738867,13.424354,,23.593725,2.5433426,,,,,,,,
2010-03-11,27.039919,4.440881,10.56644,,,17.320534,,0.89790577,0.18961033,13.431755,,23.540895,2.5555952,,,,,,,,
2010-03-12,27.058426,4.4459066,10.494268,,,17.346222,,0.9103893,0.19092143,13.412309,,23.572058,2.5529346,,,,,,,,
2010-03-13,27.029709,4.4653645,10.474234,,,17.36834,,0.9248362,0.19042006,13.465342,,23.4998,2.5654764,,,,,,,,
2010-03-14,27.021492,4.4713335,10.454096,,,17.40391,,0.93551624,0.1924907,13.438495,,23.50144,2.564941,,,,,,,,
2010-03-15,27.032286,4.478515,10.3905,,,17.403833,,0.9586293,0.19674596,13.485144,,23.457935,2.580396,,,,,,,,
2010-03-16,27.049314,4.47766,10.415274,,,17.425285,,0.9714393,0.19673516,13.404102,,23.463781,2.5804634,,,,,,,,
