date,Alternativet,Dansk Folkeparti,Det Konservative Folkeparti,Enhedslisten,Kristendemokraterne,Liberal Alliance,Nye Borgerlige,Radikale Venstre,Socialdemokratiet,Socialistisk Folkeparti,Venstre,Borgernes Parti,Danmarksdemokraterne,Frie Grønne,Moderaterne,Alternativet_lower,Dansk Folkeparti_lower,Det Konservative Folkeparti_lower,Enhedslisten_lower,Kristendemokraterne_lower,Liberal Alliance_lower,Nye Borgerlige_lower,Radikale Venstre_lower,Socialdemokratiet_lower,Socialistisk Folkeparti_lower,Venstre_lower,Borgernes Parti_lower,Danmarksdemokraterne_lower,Frie Grønne_lower,Moderaterne_lower,Alternativet_upper,Dansk Folkeparti_upper,Det Konservative Folkeparti_upper,Enhedslisten_upper,Kristendemokraterne_upper,Liberal Alliance_upper,Nye Borgerlige_upper,Radikale Venstre_upper,Socialdemokratiet_upper,Socialistisk Folkeparti_upper,Venstre_upper,Borgernes Parti_upper,Danmarksdemokraterne_upper,Frie Grønne_upper,Moderaterne_upper
2022-11-01,3.0789447,2.5102377,5.41464,5.256775,0.47011682,7.9598813,3.6422749,3.7972982,27.943686,8.449646,13.850949,0.010556842,7.7687373,0.67705303,9.169214,2.6468065,2.150243,4.7922993,4.6821623,0.33159032,7.200661,3.137961,3.3412833,26.18626,7.6110997,12.652011,0.00696811,7.007653,0.5223858,8.307333,3.532375,2.900112,6.0571685,5.881225,0.63501066,8.754252,4.1958947,4.285225,29.710938,9.319454,15.118943,0.015022137,8.584925,0.8583832,10.099922
2022-11-02,3.0703456,2.516676,5.406642,5.275805,0.46935862,7.9885335,3.6403437,3.7979846,27.929535,8.480527,13.841206,0.010552628,7.7707844,0.67051554,9.1311865,2.6446397,2.1530735,4.7513695,4.6653876,0.3318475,7.1788335,3.10997,3.3202007,25.969728,7.5993786,12.562713,0.0069776406,6.965635,0.5157513,8.228484,3.5511334,2.918952,6.110863,5.949508,0.637581,8.849823,4.204572,4.3006377,29.839281,9.415087,15.207127,0.01504221,8.644878,0.8487349,10.099963
2022-11-03,3.0613801,2.523775,5.397985,5.2958236,0.4683585,8.008693,3.6404648,3.7985504,27.920067,8.508875,13.828619,0.010555565,7.7768855,0.6640911,9.095881,2.63454,2.1517472,4.7261624,4.661385,0.33165824,7.152887,3.1004858,3.3162024,25.808834,7.590404,12.480733,0.0069982614,6.9253063,0.5104362,8.15154,3.5378885,2.927154,6.135597,5.9927588,0.6352913,8.920429,4.218626,4.320759,30.005238,9.480659,15.222059,0.015048853,8.700713,0.84326714,10.125959
2022-11-04,3.0541365,2.5290473,5.3880653,5.3147225,0.4675658,8.037831,3.6371272,3.7980542,27.91042,8.537632,13.813856,0.010560613,7.77917,0.6581892,9.063625,2.6158593,2.1405737,4.706648,4.654848,0.3296524,7.1165867,3.0889416,3.3046238,25.687572,7.5670547,12.417088,0.0070216847,6.88892,0.50484216,8.072377,3.5462828,2.951036,6.1359653,6.026756,0.63536227,8.984856,4.229509,4.328155,30.071514,9.556981,15.287521,0.015000535,8.753304,0.83625746,10.124474
2022-11-05,3.0482275,2.5354004,5.3760386,5.3339853,0.46721035,8.066833,3.6350853,3.7984715,27.898434,8.569334,13.796913,0.010562344,7.782703,0.652074,9.028727,2.6089041,2.1361742,4.6864552,4.651727,0.32824278,7.1113997,3.0762491,3.292733,25.56465,7.554331,12.355415,0.0070217983,6.83515,0.50119096,7.994464,3.5407157,2.9688938,6.1390104,6.061614,0.6337494,9.055646,4.2426023,4.3388977,30.21687,9.639776,15.322858,0.014934709,8.8019905,0.8257973,10.124359
2022-11-06,3.042406,2.5425744,5.364134,5.351401,0.46646646,8.1014,3.6297963,3.7960682,27.887434,8.603924,13.785325,0.010565706,7.7828226,0.6458517,8.989832,2.6029472,2.1462498,4.6474524,4.641209,0.32757014,7.1090503,3.0593016,3.284963,25.465572,7.55627,12.311013,0.007066896,6.828756,0.49449828,7.933437,3.534154,2.9803362,6.1301837,6.0993414,0.63618153,9.150183,4.2474527,4.351398,30.33266,9.690309,15.365018,0.014845545,8.804275,0.820319,10.107033
2022-11-07,3.0347853,2.551629,5.351059,5.371331,0.46558312,8.131734,3.6283667,3.7963352,27.87369,8.634828,13.774939,0.010567599,7.783436,0.6397563,8.951959,2.5805376,2.1506557,4.623587,4.649,0.32605597,7.1058846,3.0542867,3.2730055,25.387577,7.577733,12.253403,0.007102552,6.7898264,0.49072075,7.882608,3.5322976,2.9973624,6.1484566,6.1554413,0.63581014,9.206852,4.2578325,4.3634806,30.387445,9.744955,15.400068,0.014837573,8.834023,0.81246316,10.116118
2022-11-08,3.024811,2.5590475,5.3427806,5.38512,0.46458897,8.162736,3.623652,3.7974224,27.870617,8.660871,13.762119,0.010562027,7.7856674,0.63396925,8.916036,2.5695624,2.1508372,4.612096,4.650511,0.32525563,7.15311,3.0383039,3.2605574,25.304245,7.605441,12.170844,0.0070954054,6.7810287,0.48609892,7.825311,3.535701,3.0060878,6.1475883,6.1643972,0.6349139,9.251157,4.264843,4.376135,30.435783,9.817277,15.437667,0.01481949,8.872045,0.80454975,10.124549
2022-11-09,3.016622,2.5673907,5.333218,5.4055157,0.46360797,8.190523,3.6212687,3.7989986,27.86491,8.687178,13.741939,0.010562959,7.7943974,0.6288606,8.875011,2.5524957,2.1560044,4.6040287,4.6644754,0.32411957,7.1588936,3.0446525,3.255909,25.25826,7.6409645,12.144674,0.007096357,6.7717037,0.48063347,7.7679596,3.5329852,3.0305386,6.130248,6.226848,0.6342229,9.304596,4.2607913,4.389789,30.469826,9.852392,15.430215,0.01479755,8.834932,0.80482054,10.09654
2022-11-10,3.005855,2.5747151,5.3249254,5.4254827,0.462698,8.217272,3.6181815,3.803062,27.853607,8.720665,13.725797,0.010557668,7.7985153,0.6229745,8.835712,2.535441,2.1565926,4.5807767,4.663303,0.32499078,7.195955,3.0317729,3.2434006,25.207563,7.636436,12.103582,0.007125748,6.78876,0.4743806,7.735039,3.5139575,3.0282776,6.139467,6.223854,0.63330525,9.350241,4.2577457,4.414668,30.518738,9.900097,15.50337,0.014744993,8.882084,0.7918,10.040951
